Ac type,months,security,Monthly Rent,installation,Delivery,GST%,Total Rent,First Month Total,From Month 2,Grand Total
split AC,1,6000,13999,1499,199,18,13999,24821,0,24821
split AC,2,6000,7000,1499,199,18,14000,16261,8260,24521
split AC,3,6000,4666,1499,199,18,13998,13510,5506,24522
split AC,4,6000,3500,1499,199,18,14000,11736,4130,24126
split AC,5,6000,2800,1499,199,18,14000,10910,3304,24122
split AC,6,6000,2333,1499,199,18,13998,10359,2753,24124
split AC,7,6000,2000,1499,199,18,14000,9966,2360,24126
split AC,8,6000,1750,1499,199,18,14000,9671,2065,24126
split AC,9,6000,1555,1499,199,18,13995,9441,1835,24121
split AC,10,6000,1400,1499,199,18,14000,9258,1652,24126
split AC,11,6000,1273,1499,199,18,14003,9108,1502,24128
split AC,12,6000,1167,1499,199,18,14004,8980,1377,24127
Window AC,1,5000,9999,0,199,18,9999,17033,0,17033
Window AC,2,5000,5000,0,199,18,10000,11134,5900,17034
Window AC,3,5000,3333,0,199,18,9999,9167,3933,17033
Window AC,4,5000,2500,0,199,18,10000,8185,2950,17035
Window AC,5,5000,2000,0,199,18,10000,7595,2360,17035
Window AC,6,5000,1667,0,199,18,10002,7203,1967,17038
Window AC,7,5000,1428,0,199,18,9996,6922,1685,17032
Window AC,8,5000,1250,0,199,18,10000,6712,1475,17037
Window AC,9,5000,1111,0,199,18,9999,6546,1311,17023
Window AC,10,5000,1000,0,199,18,10000,6415,1180,17035
Window AC,11,5000,909,0,199,18,9999,6307,1073,17037
Window AC,12,5000,833,0,199,18,9996,6217,983,17034
